Estadística de Defunciones según la Causa de Muerte
Resultados nacionales
Defunciones de menores de una semana por causas (lista perinatal),  sexo y edad.
Unidades: defunciones

;Total;Menos de 24 horas;De 1 día *;De 2 días;De 3 días;De 4 días;De 5 días;De 6 días;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
75 Otras malformaciones congénitas del riñón;
    Ambos sexos;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;
    Hombres;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
76 Otras malformaciones congénitas del sistema urinario;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
77  Malformaciones y deformidades congénitas del sistema osteomuscular;
    Ambos sexos;13.0;7.0;5.0;0.0;0.0;1.0;0.0;0.0;
    Hombres;9.0;5.0;3.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;4.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;
78  Otras malformaciones congénitas no clasificadas en otra parte;
    Ambos sexos;13.0;7.0;0.0;2.0;1.0;2.0;1.0;0.0;
    Hombres;6.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;7.0;2.0;0.0;2.0;1.0;1.0;1.0;0.0;
79-82 Anomalías cromosómicas;
    Ambos sexos;11.0;4.0;2.0;0.0;0.0;1.0;1.0;3.0;
    Hombres;6.0;3.0;1.0;0.0;0.0;1.0;0.0;1.0;
    Mujeres;5.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;
79 Síndrome de Down;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
80 Síndrome de Edwards;
    Ambos sexos;6.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;
    Hombres;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;4.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;
81 Síndrome de Patau;
    Ambos sexos;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;
    Hombres;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
    Mujeres;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
82 Otras anomalías cromosómicas;
    Ambos sexos;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
83-89 I-XIV,XVIII.Otras enfermedades del feto y del recién nacido;
    Ambos sexos;20.0;3.0;6.0;4.0;1.0;3.0;3.0;0.0;
    Hombres;11.0;1.0;3.0;2.0;0.0;3.0;2.0;0.0;
    Mujeres;9.0;2.0;3.0;2.0;1.0;0.0;1.0;0.0;
83 Tétanos neonatal y otras enfermedades infecciosas y parasitarias;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
84 Tumores;
    Ambos sexos;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
85 Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad;
    Ambos sexos;6.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;
    Hombres;4.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;
    Mujeres;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;
86 Enfermedades endocrinas, nutricionales y metabólicas;
    Ambos sexos;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
87 Ileo meconial;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
88 Muerte súbita infantil;
    Ambos sexos;5.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;
    Hombres;3.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;
    Mujeres;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;
89 Otras afecciones, síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;
    Ambos sexos;7.0;0.0;2.0;1.0;0.0;2.0;2.0;0.0;
    Hombres;4.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;
    Mujeres;3.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;
90-93 XX. Causas externas de lesiones ocurridas al recién nacido;
    Ambos sexos;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
90 Accidentes de transporte;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
91 Accidentes que obstruyen la respiración;
    Ambos sexos;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
92 Agresiones (Homicidio);
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
93 Otras causas externas;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Notas:
1) Debido a que a partir del año 2013 se ha tenido acceso a los datos del Instituto Anatómico Forense de Madrid, se  ha introducido una mejora metodológica en el proceso de esta estadística, que ha permitido asignar de forma más  precisa la causa de defunción en las muertes con intervención judicial. Como consecuencia, defunciones que estaban  asignadas a causas mal definidas han sido reasignadas a causas externas específicas. Por lo tanto, este hecho debe  ser tenido en cuenta a la hora de realizar comparaciones con años anteriores.
1) ~'edad,De 1 día *'~La edad de fallecimiento está calculada por diferencia entre la  fecha de defunción y la de nacimiento, a excepción de los menores de  24 horas de vida. Por tanto, como fallecidos de un día figuran sólo  aquellos que han vivido más de 24 horas y fallecido al día siguiente.
Fuente: Instituto Nacional de Estadística
